Filename, Parameters, Label, AvgVelocity, AvgAcceleration, KineticEnergy, PathLength, RsdVelocity, RsdAcceleration
nn_generat_params_log1_4.txt,Parameter_1,With NN,0.001403,0.000158,0.000008,0.428451, 2.01%, 1.96%
nn_generat_params_log1_4.txt,Parameter_2,With NN,0.003952,0.000320,0.000047,0.911355, 1.65%, 2.17%
nn_generat_params_log1_4.txt,Parameter_3,With NN,0.002136,0.000204,0.000010,0.524223, 1.42%, 1.63%
nn_generat_params_log1_4.txt,Parameter_4,With NN,0.002633,0.000228,0.000032,0.602690, 2.08%, 1.66%
nn_generat_params_log1_4.txt,Parameter_5,With NN,0.002119,0.000140,0.000017,0.480241, 1.74%, 1.48%
nn_generat_params_log1_4.txt,Parameter_6,With NN,0.002938,0.000302,0.000022,0.683190, 1.48%, 1.29%
nn_generat_params_log1_4.txt,Parameter_7,With NN,0.002535,0.000235,0.000015,0.605950, 1.40%, 1.44%
nn_generat_params_log1_4.txt,Parameter_8,With NN,0.002874,0.000255,0.000022,0.685236, 1.51%, 1.76%
nn_generat_params_log1_4.txt,Parameter_9,With NN,0.002608,0.000328,0.000021,0.623047, 1.74%, 1.69%
nn_generat_params_log1_4.txt,Parameter_10,With NN,0.001582,0.000108,0.000007,0.358049, 1.48%, 1.57%
nn_generat_params_log1_4.txt,Parameter_11,With NN,0.004051,0.000230,0.000032,0.899221, 1.40%, 1.49%
nn_generat_params_log1_4.txt,Parameter_12,With NN,0.002801,0.000188,0.000023,0.619979, 1.56%, 1.49%
nn_generat_params_log1_4.txt,Parameter_13,With NN,0.003991,0.000270,0.000034,0.858162, 1.46%, 1.58%
nn_generat_params_log1_4.txt,Parameter_14,With NN,0.003478,0.000189,0.000027,0.755153, 1.29%, 1.40%
nn_generat_params_log1_4.txt,Parameter_15,With NN,0.003088,0.000246,0.000026,0.792007, 1.47%, 1.73%
nn_generat_params_log1_4.txt,Parameter_16,With NN,0.003270,0.000317,0.000037,0.775728, 1.85%, 1.51%
nn_generat_params_log1_4.txt,Parameter_17,With NN,0.002248,0.000120,0.000026,0.506658, 2.11%, 1.90%
nn_generat_params_log1_4.txt,Parameter_18,With NN,0.003095,0.000202,0.000020,0.679685, 1.10%, 1.30%
nn_generat_params_log1_4.txt,Parameter_19,With NN,0.001992,0.000117,0.000010,0.476456, 1.27%, 2.09%
nn_generat_params_log1_4.txt,Parameter_20,With NN,0.003041,0.000252,0.000032,0.704477, 1.83%, 1.53%
nn_generat_params_log1_4.txt,Parameter_21,With NN,0.003800,0.000388,0.000047,0.971384, 1.73%, 1.70%
nn_generat_params_log1_4.txt,Parameter_22,With NN,0.002883,0.000233,0.000015,0.640252, 1.34%, 1.45%
nn_generat_params_log1_4.txt,Parameter_23,With NN,0.001758,0.000136,0.000013,0.512720, 1.95%, 2.46%
nn_generat_params_log1_4.txt,Parameter_24,With NN,0.001993,0.000297,0.000011,0.532220, 1.64%, 1.80%
nn_generat_params_log1_4.txt,Parameter_25,With NN,0.004062,0.000325,0.000041,0.949370, 1.57%, 1.70%
nn_generat_params_log1_4.txt,Parameter_26,With NN,0.003152,0.000320,0.000032,0.786322, 1.80%, 1.91%
nn_generat_params_log1_4.txt,Parameter_27,With NN,0.002059,0.000181,0.000016,0.517479, 1.88%, 2.49%
nn_generat_params_log1_4.txt,Parameter_28,With NN,0.002689,0.000296,0.000027,0.650488, 1.89%, 1.59%
nn_generat_params_log1_4.txt,Parameter_29,With NN,0.003484,0.000311,0.000030,0.824040, 1.55%, 1.43%
nn_generat_params_log1_4.txt,Parameter_30,With NN,0.002592,0.000245,0.000015,0.593689, 1.48%, 1.65%
nn_generat_params_log1_4.txt,Parameter_31,With NN,0.001831,0.000197,0.000009,0.517929, 1.59%, 1.82%
nn_generat_params_log1_4.txt,Parameter_32,With NN,0.002589,0.000189,0.000018,0.601691, 1.56%, 1.57%
nn_generat_params_log1_4.txt,Parameter_33,With NN,0.004277,0.000327,0.000047,0.980118, 1.54%, 1.51%
nn_generat_params_log1_4.txt,Parameter_34,With NN,0.003195,0.000194,0.000034,0.723620, 1.73%, 1.42%
nn_generat_params_log1_4.txt,Parameter_35,With NN,0.001719,0.000196,0.000011,0.434305, 1.88%, 1.54%
nn_generat_params_log1_4.txt,Parameter_36,With NN,0.002354,0.000326,0.000013,0.585735, 1.55%, 1.55%
nn_generat_params_log1_4.txt,Parameter_37,With NN,0.001981,0.000202,0.000008,0.448895, 1.37%, 1.58%
nn_generat_params_log1_4.txt,Parameter_38,With NN,0.003263,0.000305,0.000026,0.817046, 1.52%, 1.73%
nn_generat_params_log1_4.txt,Parameter_39,With NN,0.002755,0.000200,0.000026,0.623962, 1.85%, 1.97%
nn_generat_params_log1_4.txt,Parameter_40,With NN,0.002912,0.000272,0.000027,0.660304, 1.75%, 1.58%
nn_generat_params_log1_4.txt,Parameter_41,With NN,0.002792,0.000299,0.000023,0.679298, 1.66%, 1.67%
nn_generat_params_log1_4.txt,Parameter_42,With NN,0.002658,0.000247,0.000017,0.591303, 1.53%, 1.46%
nn_generat_params_log1_4.txt,Parameter_43,With NN,0.002169,0.000236,0.000018,0.539191, 1.79%, 1.75%
nn_generat_params_log1_4.txt,Parameter_44,With NN,0.001971,0.000225,0.000014,0.509757, 1.85%, 1.82%
nn_generat_params_log1_4.txt,Parameter_45,With NN,0.003002,0.000320,0.000024,0.679690, 1.63%, 2.04%
nn_generat_params_log1_4.txt,Parameter_46,With NN,0.002905,0.000280,0.000031,0.762254, 1.90%, 2.19%
nn_generat_params_log1_4.txt,Parameter_47,With NN,0.001951,0.000192,0.000017,0.475755, 2.05%, 1.79%
nn_generat_params_log1_4.txt,Parameter_48,With NN,0.002156,0.000323,0.000014,0.551405, 1.72%, 1.68%
nn_generat_params_log1_4.txt,Parameter_49,With NN,0.003526,0.000326,0.000057,0.954089, 2.10%, 2.04%
nn_generat_params_log1_4.txt,Parameter_50,With NN,0.002509,0.000203,0.000015,0.544915, 1.36%, 1.76%
nn_generat_params_log1_4.txt,Parameter_51,With NN,0.001763,0.000166,0.000010,0.421986, 1.74%, 2.09%
nn_generat_params_log1_4.txt,Parameter_52,With NN,0.002467,0.000182,0.000022,0.559802, 1.80%, 2.14%
nn_generat_params_log1_4.txt,Parameter_53,With NN,0.002592,0.000275,0.000020,0.627212, 1.64%, 1.76%
nn_generat_params_log1_4.txt,Parameter_54,With NN,0.002718,0.000308,0.000013,0.667008, 1.28%, 1.37%
nn_generat_params_log1_4.txt,Parameter_55,With NN,0.002361,0.000245,0.000011,0.578095, 1.34%, 1.57%
nn_generat_params_log1_4.txt,Parameter_56,With NN,0.002481,0.000228,0.000011,0.541405, 1.33%, 1.25%
nn_generat_params_log1_4.txt,Parameter_57,With NN,0.002628,0.000273,0.000034,0.663061, 2.20%, 2.22%
nn_generat_params_log1_4.txt,Parameter_58,With NN,0.003610,0.000311,0.000031,0.844339, 1.50%, 1.45%
nn_generat_params_log1_4.txt,Parameter_59,With NN,0.002310,0.000243,0.000017,0.560663, 1.73%, 1.94%
nn_generat_params_log1_4.txt,Parameter_60,With NN,0.002006,0.000296,0.000007,0.518078, 1.31%, 1.38%
nn_generat_params_log1_4.txt,Parameter_61,With NN,0.003000,0.000301,0.000022,0.737710, 1.46%, 1.81%
nn_generat_params_log1_4.txt,Parameter_62,With NN,0.001819,0.000220,0.000007,0.446158, 1.47%, 1.56%
