Filename, Parameters, Label, AvgVelocity, AvgAcceleration, KineticEnergy, PathLength, RsdVelocity, RsdAcceleration
nn_generat_params_log1_5.txt,Parameter_1,With NN,0.002719,0.000292,0.000022,0.691455, 1.58%, 1.82%
nn_generat_params_log1_5.txt,Parameter_2,With NN,0.003720,0.000357,0.000031,0.821095, 1.43%, 1.48%
nn_generat_params_log1_5.txt,Parameter_3,With NN,0.001993,0.000270,0.000017,0.531150, 2.00%, 1.85%
nn_generat_params_log1_5.txt,Parameter_4,With NN,0.003067,0.000198,0.000025,0.698879, 1.51%, 1.38%
nn_generat_params_log1_5.txt,Parameter_5,With NN,0.002821,0.000157,0.000028,0.665803, 1.84%, 1.60%
nn_generat_params_log1_5.txt,Parameter_6,With NN,0.001966,0.000132,0.000013,0.457674, 1.58%, 1.48%
nn_generat_params_log1_5.txt,Parameter_7,With NN,0.002924,0.000217,0.000019,0.697877, 1.44%, 1.85%
nn_generat_params_log1_5.txt,Parameter_8,With NN,0.001886,0.000100,0.000010,0.420050, 1.44%, 1.41%
nn_generat_params_log1_5.txt,Parameter_9,With NN,0.002412,0.000298,0.000017,0.645846, 1.69%, 1.90%
nn_generat_params_log1_5.txt,Parameter_10,With NN,0.002545,0.000278,0.000013,0.642029, 1.39%, 1.65%
nn_generat_params_log1_5.txt,Parameter_11,With NN,0.002558,0.000204,0.000017,0.602562, 1.61%, 1.59%
nn_generat_params_log1_5.txt,Parameter_12,With NN,0.002645,0.000326,0.000018,0.702367, 1.59%, 1.72%
nn_generat_params_log1_5.txt,Parameter_13,With NN,0.001948,0.000204,0.000012,0.528978, 1.78%, 2.25%
nn_generat_params_log1_5.txt,Parameter_14,With NN,0.002184,0.000191,0.000020,0.479936, 1.92%, 1.69%
nn_generat_params_log1_5.txt,Parameter_15,With NN,0.001875,0.000247,0.000014,0.556121, 1.97%, 1.79%
nn_generat_params_log1_5.txt,Parameter_16,With NN,0.002632,0.000189,0.000015,0.598968, 1.26%, 1.41%
nn_generat_params_log1_5.txt,Parameter_17,With NN,0.002423,0.000260,0.000013,0.577964, 1.44%, 1.51%
nn_generat_params_log1_5.txt,Parameter_18,With NN,0.002783,0.000299,0.000020,0.706958, 1.50%, 1.93%
nn_generat_params_log1_5.txt,Parameter_19,With NN,0.001931,0.000177,0.000009,0.473865, 1.51%, 1.48%
nn_generat_params_log1_5.txt,Parameter_20,With NN,0.002887,0.000198,0.000019,0.646302, 1.48%, 1.37%
nn_generat_params_log1_5.txt,Parameter_21,With NN,0.002486,0.000246,0.000019,0.548497, 1.67%, 1.55%
nn_generat_params_log1_5.txt,Parameter_22,With NN,0.001529,0.000146,0.000005,0.399295, 1.33%, 1.43%
nn_generat_params_log1_5.txt,Parameter_23,With NN,0.002713,0.000258,0.000023,0.653254, 1.72%, 1.83%
nn_generat_params_log1_5.txt,Parameter_24,With NN,0.002285,0.000199,0.000025,0.552367, 2.09%, 1.77%
nn_generat_params_log1_5.txt,Parameter_25,With NN,0.002145,0.000171,0.000019,0.553915, 1.81%, 1.95%
nn_generat_params_log1_5.txt,Parameter_26,With NN,0.002178,0.000276,0.000014,0.543671, 1.68%, 1.66%
nn_generat_params_log1_5.txt,Parameter_27,With NN,0.002174,0.000201,0.000013,0.530620, 1.56%, 1.83%
nn_generat_params_log1_5.txt,Parameter_28,With NN,0.002328,0.000115,0.000015,0.509692, 1.38%, 1.43%
nn_generat_params_log1_5.txt,Parameter_29,With NN,0.002249,0.000139,0.000012,0.507860, 1.24%, 1.38%
nn_generat_params_log1_5.txt,Parameter_30,With NN,0.001760,0.000192,0.000016,0.473453, 2.11%, 2.31%
nn_generat_params_log1_5.txt,Parameter_31,With NN,0.002827,0.000225,0.000015,0.669063, 1.26%, 1.51%
nn_generat_params_log1_5.txt,Parameter_32,With NN,0.003449,0.000197,0.000026,0.763449, 1.33%, 1.48%
nn_generat_params_log1_5.txt,Parameter_33,With NN,0.003375,0.000232,0.000023,0.785508, 1.29%, 1.66%
nn_generat_params_log1_5.txt,Parameter_34,With NN,0.001826,0.000185,0.000008,0.469452, 1.53%, 1.53%
nn_generat_params_log1_5.txt,Parameter_35,With NN,0.002620,0.000284,0.000016,0.647316, 1.49%, 1.76%
nn_generat_params_log1_5.txt,Parameter_36,With NN,0.003507,0.000310,0.000041,0.833678, 1.82%, 1.58%
nn_generat_params_log1_5.txt,Parameter_37,With NN,0.002425,0.000174,0.000016,0.575548, 1.52%, 1.64%
nn_generat_params_log1_5.txt,Parameter_38,With NN,0.002013,0.000165,0.000007,0.512446, 1.19%, 1.62%
nn_generat_params_log1_5.txt,Parameter_39,With NN,0.002028,0.000185,0.000017,0.494032, 1.85%, 1.78%
nn_generat_params_log1_5.txt,Parameter_40,With NN,0.003651,0.000231,0.000028,0.822881, 1.38%, 1.43%
nn_generat_params_log1_5.txt,Parameter_41,With NN,0.003280,0.000272,0.000023,0.743009, 1.35%, 1.55%
nn_generat_params_log1_5.txt,Parameter_42,With NN,0.002608,0.000161,0.000015,0.629904, 1.29%, 2.08%
nn_generat_params_log1_5.txt,Parameter_43,With NN,0.002433,0.000271,0.000014,0.592483, 1.49%, 1.62%
nn_generat_params_log1_5.txt,Parameter_44,With NN,0.002785,0.000215,0.000018,0.649785, 1.49%, 1.85%
nn_generat_params_log1_5.txt,Parameter_45,With NN,0.003688,0.000205,0.000040,0.861633, 1.48%, 1.93%
nn_generat_params_log1_5.txt,Parameter_46,With NN,0.001689,0.000167,0.000006,0.377246, 1.34%, 1.60%
nn_generat_params_log1_5.txt,Parameter_47,With NN,0.001997,0.000201,0.000010,0.534318, 1.52%, 1.68%
nn_generat_params_log1_5.txt,Parameter_48,With NN,0.003081,0.000216,0.000036,0.708686, 1.93%, 1.65%
nn_generat_params_log1_5.txt,Parameter_49,With NN,0.003188,0.000215,0.000029,0.744451, 1.67%, 1.49%
nn_generat_params_log1_5.txt,Parameter_50,With NN,0.001416,0.000225,0.000005,0.402872, 1.61%, 1.66%
nn_generat_params_log1_5.txt,Parameter_51,With NN,0.002023,0.000209,0.000013,0.523826, 1.79%, 1.60%
nn_generat_params_log1_5.txt,Parameter_52,With NN,0.002870,0.000211,0.000017,0.659851, 1.42%, 1.74%
nn_generat_params_log1_5.txt,Parameter_53,With NN,0.002929,0.000264,0.000017,0.700842, 1.40%, 1.49%
nn_generat_params_log1_5.txt,Parameter_54,With NN,0.001873,0.000263,0.000012,0.512703, 1.85%, 1.82%
nn_generat_params_log1_5.txt,Parameter_55,With NN,0.002444,0.000178,0.000016,0.581591, 1.40%, 1.62%
nn_generat_params_log1_5.txt,Parameter_56,With NN,0.003926,0.000295,0.000046,0.884838, 1.71%, 1.67%
nn_generat_params_log1_5.txt,Parameter_57,With NN,0.002054,0.000219,0.000014,0.489642, 1.72%, 1.77%
nn_generat_params_log1_5.txt,Parameter_58,With NN,0.001801,0.000174,0.000008,0.478581, 1.40%, 1.61%
nn_generat_params_log1_5.txt,Parameter_59,With NN,0.001778,0.000178,0.000010,0.447450, 1.78%, 1.60%
nn_generat_params_log1_5.txt,Parameter_60,With NN,0.002600,0.000245,0.000017,0.593410, 1.39%, 1.94%
nn_generat_params_log1_5.txt,Parameter_61,With NN,0.003194,0.000300,0.000028,0.752723, 1.63%, 2.05%
nn_generat_params_log1_5.txt,Parameter_62,With NN,0.001776,0.000197,0.000008,0.451230, 1.48%, 1.76%
nn_generat_params_log1_5.txt,Parameter_63,With NN,0.002284,0.000310,0.000015,0.640924, 1.66%, 1.82%
nn_generat_params_log1_5.txt,Parameter_64,With NN,0.003175,0.000276,0.000023,0.718002, 1.48%, 1.56%
nn_generat_params_log1_5.txt,Parameter_65,With NN,0.002756,0.000202,0.000014,0.644671, 1.24%, 1.74%
nn_generat_params_log1_5.txt,Parameter_66,With NN,0.002292,0.000196,0.000012,0.531845, 1.49%, 1.58%
nn_generat_params_log1_5.txt,Parameter_67,With NN,0.001146,0.000130,0.000004,0.299339, 1.63%, 1.52%
nn_generat_params_log1_5.txt,Parameter_68,With NN,0.002829,0.000279,0.000024,0.674577, 1.73%, 1.61%
nn_generat_params_log1_5.txt,Parameter_69,With NN,0.002663,0.000242,0.000035,0.658883, 2.12%, 2.09%
nn_generat_params_log1_5.txt,Parameter_70,With NN,0.002198,0.000250,0.000017,0.568267, 1.80%, 1.99%
nn_generat_params_log1_5.txt,Parameter_71,With NN,0.002554,0.000134,0.000017,0.596534, 1.36%, 1.55%
nn_generat_params_log1_5.txt,Parameter_72,With NN,0.002914,0.000131,0.000028,0.660674, 1.53%, 1.92%
nn_generat_params_log1_5.txt,Parameter_73,With NN,0.002641,0.000206,0.000016,0.576007, 1.49%, 1.39%
nn_generat_params_log1_5.txt,Parameter_74,With NN,0.002785,0.000204,0.000017,0.623120, 1.41%, 1.86%
nn_generat_params_log1_5.txt,Parameter_75,With NN,0.002200,0.000284,0.000014,0.522451, 1.72%, 1.58%
nn_generat_params_log1_5.txt,Parameter_76,With NN,0.002829,0.000283,0.000024,0.733814, 1.61%, 2.07%
nn_generat_params_log1_5.txt,Parameter_77,With NN,0.002626,0.000238,0.000013,0.579070, 1.36%, 1.48%
nn_generat_params_log1_5.txt,Parameter_78,With NN,0.001661,0.000198,0.000006,0.508046, 1.42%, 1.53%
nn_generat_params_log1_5.txt,Parameter_79,With NN,0.001627,0.000212,0.000007,0.479384, 1.59%, 1.56%
nn_generat_params_log1_5.txt,Parameter_80,With NN,0.002947,0.000279,0.000024,0.678444, 1.58%, 1.33%
nn_generat_params_log1_5.txt,Parameter_81,With NN,0.002454,0.000264,0.000017,0.556450, 1.66%, 1.74%
nn_generat_params_log1_5.txt,Parameter_82,With NN,0.001893,0.000171,0.000011,0.457517, 1.63%, 1.63%
nn_generat_params_log1_5.txt,Parameter_83,With NN,0.001963,0.000250,0.000010,0.550920, 1.61%, 1.63%
nn_generat_params_log1_5.txt,Parameter_84,With NN,0.002138,0.000193,0.000014,0.512783, 1.66%, 1.55%
